Name,Acceleration,Weight,Traction,MiniTurbo,Invincibility,GroundSpeed,WaterSpeed,AirSpeed,AntiGravitySpeed,GroundHandling,WaterHandling,AirHandling,AntiGravityHandling
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Slim"",""glider"":""Super Glider""}",13,4,11,14,13,5,6,5,5,20,18,17,18
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Slim"",""glider"":""Cloud Glider""}",14,3,11,15,12,4,6,4,6,20,18,18,18
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Slim"",""glider"":""Wario Wing""}",13,5,10,14,13,5,5,5,6,20,19,17,17
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Slim"",""glider"":""Peach Parasol""}",14,4,10,15,12,4,5,4,6,20,19,18,17
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Metal"",""glider"":""Super Glider""}",11,6,12,12,14,6,7,5,2,18,16,13,16
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Metal"",""glider"":""Cloud Glider""}",12,5,12,13,13,5,7,4,3,18,16,14,16
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Metal"",""glider"":""Wario Wing""}",11,7,11,12,14,6,6,5,3,18,17,13,15
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Metal"",""glider"":""Peach Parasol""}",12,6,11,13,13,5,6,4,3,18,17,14,15
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Button"",""glider"":""Super Glider""}",16,2,13,17,11,3,6,5,3,19,17,15,19
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Button"",""glider"":""Cloud Glider""}",17,1,13,18,10,2,6,4,4,19,17,16,19
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Button"",""glider"":""Wario Wing""}",16,3,12,17,11,3,5,5,4,19,18,15,18
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Button"",""glider"":""Peach Parasol""}",17,2,12,18,10,2,5,4,4,19,18,16,18
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Off-Road"",""glider"":""Super Glider""}",14,5,16,13,15,5,8,4,3,17,15,15,17
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Off-Road"",""glider"":""Cloud Glider""}",15,4,16,14,14,4,8,3,4,17,15,16,17
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Off-Road"",""glider"":""Wario Wing""}",14,6,15,13,15,5,7,4,4,17,16,15,16
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Off-Road"",""glider"":""Peach Parasol""}",15,5,15,14,14,4,7,3,4,17,16,16,16
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Cushion"",""glider"":""Super Glider""}",15,3,16,16,14,3,5,7,2,18,15,16,17
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Cushion"",""glider"":""Cloud Glider""}",16,2,16,17,13,2,5,6,3,18,15,17,17
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Cushion"",""glider"":""Wario Wing""}",15,4,15,16,14,3,4,7,3,18,16,16,16
"{""character"":""Baby Peach"",""body"":""Pipe Frame"",""tire"":""Cushion"",""glider"":""Peach Parasol""}",16,3,15,17,13,2,4,6,3,18,16,17,16
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""GLA Tires"",""glider"":""Super Glider""}",12,6,15,13,15,6,7,9,7,16,15,16,18
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""GLA Tires"",""glider"":""Cloud Glider""}",13,5,15,14,14,5,7,8,8,16,15,17,18
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""GLA Tires"",""glider"":""Wario Wing""}",12,7,14,13,15,6,6,9,8,16,16,16,17
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""GLA Tires"",""glider"":""Peach Parasol""}",13,6,14,14,14,5,6,8,8,16,16,17,17
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Monster"",""glider"":""Super Glider""}",10,8,17,12,16,6,6,7,7,13,13,14,15
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Monster"",""glider"":""Cloud Glider""}",11,7,17,13,15,5,6,6,8,13,13,15,15
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Monster"",""glider"":""Wario Wing""}",10,9,16,12,16,6,5,7,8,13,14,14,14
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Monster"",""glider"":""Peach Parasol""}",11,8,16,13,15,5,5,6,8,13,14,15,14
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Roller"",""glider"":""Super Glider""}",14,4,14,16,11,4,7,9,5,17,16,17,19
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Roller"",""glider"":""Cloud Glider""}",15,3,14,17,10,3,7,8,6,17,16,18,19
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Roller"",""glider"":""Wario Wing""}",14,5,13,16,11,4,6,9,6,17,17,17,18
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Roller"",""glider"":""Peach Parasol""}",15,4,13,17,10,3,6,8,6,17,17,18,18
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Slim"",""glider"":""Super Glider""}",10,6,11,12,15,7,6,8,9,17,16,17,18
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Slim"",""glider"":""Cloud Glider""}",11,5,11,13,14,6,6,7,10,17,16,18,18
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Slim"",""glider"":""Wario Wing""}",10,7,10,12,15,7,5,8,10,17,17,17,17
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Slim"",""glider"":""Peach Parasol""}",11,6,10,13,14,6,5,7,10,17,17,18,17
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Slick"",""glider"":""Super Glider""}",9,7,10,10,15,8,4,6,9,15,12,14,17
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Slick"",""glider"":""Wario Wing""}",9,8,9,10,15,8,3,6,10,15,13,14,16
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Metal"",""glider"":""Super Glider""}",8,8,12,10,16,8,7,8,6,15,14,13,16
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Metal"",""glider"":""Cloud Glider""}",9,7,12,11,15,7,7,7,7,15,14,14,16
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Metal"",""glider"":""Wario Wing""}",8,9,11,10,16,8,6,8,7,15,15,13,15
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Metal"",""glider"":""Peach Parasol""}",9,8,11,11,15,7,6,7,7,15,15,14,15
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Button"",""glider"":""Super Glider""}",13,4,13,15,13,5,6,8,7,16,15,15,19
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Button"",""glider"":""Cloud Glider""}",14,3,13,16,12,4,6,7,8,16,15,16,19
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Button"",""glider"":""Wario Wing""}",13,5,12,15,13,5,5,8,8,16,16,15,18
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Button"",""glider"":""Peach Parasol""}",14,4,12,16,12,4,5,7,8,16,16,16,18
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Off-Road"",""glider"":""Super Glider""}",11,7,16,11,17,7,8,7,7,14,13,15,17
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Off-Road"",""glider"":""Cloud Glider""}",12,6,16,12,16,6,8,6,8,14,13,16,17
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Off-Road"",""glider"":""Wario Wing""}",11,8,15,11,17,7,7,7,8,14,14,15,16
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Off-Road"",""glider"":""Peach Parasol""}",12,7,15,12,16,6,7,6,8,14,14,16,16
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Cushion"",""glider"":""Super Glider""}",12,5,16,14,16,5,5,10,6,15,13,16,17
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Cushion"",""glider"":""Cloud Glider""}",13,4,16,15,15,4,5,9,7,15,13,17,17
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Cushion"",""glider"":""Wario Wing""}",12,6,15,14,16,5,4,10,7,15,14,16,16
"{""character"":""Baby Peach"",""body"":""Mach 8"",""tire"":""Cushion"",""glider"":""Peach Parasol""}",13,5,15,15,15,4,4,9,7,15,14,17,16
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""GLA Tires"",""glider"":""Super Glider""}",10,7,14,11,17,7,9,5,4,15,18,15,15
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""GLA Tires"",""glider"":""Cloud Glider""}",11,6,14,12,16,6,9,4,5,15,18,16,15
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""GLA Tires"",""glider"":""Wario Wing""}",10,8,13,11,17,7,8,5,5,15,19,15,14
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""GLA Tires"",""glider"":""Peach Parasol""}",11,7,13,12,16,6,8,4,5,15,19,16,14
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Monster"",""glider"":""Super Glider""}",8,9,16,10,18,7,8,3,4,12,16,13,12
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Monster"",""glider"":""Cloud Glider""}",9,8,16,11,17,6,8,2,5,12,16,14,12
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Monster"",""glider"":""Wario Wing""}",8,10,15,10,18,7,7,3,5,12,17,13,11
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Monster"",""glider"":""Peach Parasol""}",9,9,15,11,17,6,7,2,5,12,17,14,11
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Roller"",""glider"":""Super Glider""}",12,5,13,14,13,5,9,5,2,16,19,16,16
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Roller"",""glider"":""Cloud Glider""}",13,4,13,15,12,4,9,4,3,16,19,17,16
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Roller"",""glider"":""Wario Wing""}",12,6,12,14,13,5,8,5,3,16,20,16,15
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Roller"",""glider"":""Peach Parasol""}",13,5,12,15,12,4,8,4,3,16,20,17,15
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Slim"",""glider"":""Super Glider""}",8,7,10,10,17,8,8,4,6,16,19,16,15
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Slim"",""glider"":""Cloud Glider""}",9,6,10,11,16,7,8,3,7,16,19,17,15
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Slim"",""glider"":""Wario Wing""}",8,8,9,10,17,8,7,4,7,16,20,16,14
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Slim"",""glider"":""Peach Parasol""}",9,7,9,11,16,7,7,3,7,16,20,17,14
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Slick"",""glider"":""Super Glider""}",7,8,9,8,17,9,6,2,6,14,15,13,14
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Slick"",""glider"":""Wario Wing""}",7,9,8,8,17,9,5,2,7,14,16,13,13
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Metal"",""glider"":""Super Glider""}",6,9,11,8,18,9,9,4,3,14,17,12,13
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Metal"",""glider"":""Cloud Glider""}",7,8,11,9,17,8,9,3,4,14,17,13,13
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Metal"",""glider"":""Wario Wing""}",6,10,10,8,18,9,8,4,4,14,18,12,12
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Metal"",""glider"":""Peach Parasol""}",7,9,10,9,17,8,8,3,4,14,18,13,12
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Button"",""glider"":""Super Glider""}",11,5,12,13,15,6,8,4,4,15,18,14,16
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Button"",""glider"":""Cloud Glider""}",12,4,12,14,14,5,8,3,5,15,18,15,16
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Button"",""glider"":""Wario Wing""}",11,6,11,13,15,6,7,4,5,15,19,14,15
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Button"",""glider"":""Peach Parasol""}",12,5,11,14,14,5,7,3,5,15,19,15,15
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Off-Road"",""glider"":""Super Glider""}",9,8,15,9,19,8,10,3,4,13,16,14,14
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Off-Road"",""glider"":""Cloud Glider""}",10,7,15,10,18,7,10,2,5,13,16,15,14
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Off-Road"",""glider"":""Wario Wing""}",9,9,14,9,19,8,9,3,5,13,17,14,13
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Off-Road"",""glider"":""Peach Parasol""}",10,8,14,10,18,7,9,2,5,13,17,15,13
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Cushion"",""glider"":""Super Glider""}",10,6,15,12,18,6,7,6,3,14,16,15,14
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Cushion"",""glider"":""Cloud Glider""}",11,5,15,13,17,5,7,5,4,14,16,16,14
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Cushion"",""glider"":""Wario Wing""}",10,7,14,12,18,6,6,6,4,14,17,15,13
"{""character"":""Baby Peach"",""body"":""Steel Driver"",""tire"":""Cushion"",""glider"":""Peach Parasol""}",11,6,14,13,17,5,6,5,4,14,17,16,13
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""GLA Tires"",""glider"":""Super Glider""}",14,5,14,14,14,5,6,9,5,18,15,18,17
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""GLA Tires"",""glider"":""Cloud Glider""}",15,4,14,15,13,4,6,8,6,18,15,19,17
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""GLA Tires"",""glider"":""Wario Wing""}",14,6,13,14,14,5,5,9,6,18,16,18,16
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""GLA Tires"",""glider"":""Peach Parasol""}",15,5,13,15,13,4,5,8,6,18,16,19,16
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Monster"",""glider"":""Super Glider""}",12,7,16,13,15,5,5,7,5,15,13,16,14
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Monster"",""glider"":""Cloud Glider""}",13,6,16,14,14,4,5,6,6,15,13,17,14
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Monster"",""glider"":""Wario Wing""}",12,8,15,13,15,5,4,7,6,15,14,16,13
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Monster"",""glider"":""Peach Parasol""}",13,7,15,14,14,4,4,6,6,15,14,17,13
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Roller"",""glider"":""Super Glider""}",16,3,13,17,10,3,6,9,3,19,16,19,18
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Roller"",""glider"":""Cloud Glider""}",17,2,13,18,9,2,6,8,4,19,16,20,18
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Roller"",""glider"":""Wario Wing""}",16,4,12,17,10,3,5,9,4,19,17,19,17
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Roller"",""glider"":""Peach Parasol""}",17,3,12,18,9,2,5,8,4,19,17,20,17
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Slim"",""glider"":""Super Glider""}",12,5,10,13,14,6,5,8,7,19,16,19,17
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Slim"",""glider"":""Cloud Glider""}",13,4,10,14,13,5,5,7,8,19,16,20,17
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Slim"",""glider"":""Wario Wing""}",12,6,9,13,14,6,4,8,8,19,17,19,16
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Slim"",""glider"":""Peach Parasol""}",13,5,9,14,13,5,4,7,8,19,17,20,16
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Slick"",""glider"":""Wario Wing""}",11,7,8,11,14,7,2,6,8,17,13,16,15
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Metal"",""glider"":""Super Glider""}",10,7,11,11,15,7,6,8,4,17,14,15,15
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Metal"",""glider"":""Wario Wing""}",10,8,10,11,15,7,5,8,5,17,15,15,14
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Metal"",""glider"":""Peach Parasol""}",11,7,10,12,14,6,5,7,5,17,15,16,14
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Button"",""glider"":""Super Glider""}",15,3,12,16,12,4,5,8,5,18,15,17,18
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Button"",""glider"":""Cloud Glider""}",16,2,12,17,11,3,5,7,6,18,15,18,18
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Button"",""glider"":""Wario Wing""}",15,4,11,16,12,4,4,8,6,18,16,17,17
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Button"",""glider"":""Peach Parasol""}",16,3,11,17,11,3,4,7,6,18,16,18,17
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Off-Road"",""glider"":""Super Glider""}",13,6,15,12,16,6,7,7,5,16,13,17,16
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Off-Road"",""glider"":""Cloud Glider""}",14,5,15,13,15,5,7,6,6,16,13,18,16
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Off-Road"",""glider"":""Wario Wing""}",13,7,14,12,16,6,6,7,6,16,14,17,15
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Off-Road"",""glider"":""Peach Parasol""}",14,6,14,13,15,5,6,6,6,16,14,18,15
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Cushion"",""glider"":""Super Glider""}",14,4,15,15,15,4,4,10,4,17,13,18,16
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Cushion"",""glider"":""Cloud Glider""}",15,3,15,16,14,3,4,9,5,17,13,19,16
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Cushion"",""glider"":""Wario Wing""}",14,5,14,15,15,4,3,10,5,17,14,18,15
"{""character"":""Baby Peach"",""body"":""Cat Cruiser"",""tire"":""Cushion"",""glider"":""Peach Parasol""}",15,4,14,16,14,3,3,9,5,17,14,19,15
"{""character"":""Baby Peach"",""body"":""Comet"",""tire"":""GLA Tires"",""glider"":""Super Glider""}",14,5,14,14,13,5,6,9,5,18,15,18,17
"{""character"":""Baby Peach"",""body"":""Comet"",""tire"":""GLA Tires"",""glider"":""Cloud Glider""}",15,4,14,15,12,4,6,8,6,18,15,19,17
